network,method,algorithm_variant,M,T,stage1_runtime_seconds,stage2_runtime_seconds,total_runtime_seconds
9_lines_245_stations,ea_ra,enumeration,4,10,2609.7949,1.6195,2611.4144
9_lines_245_stations,heuristic,heuristic,4,10,0.0230,0.0910,0.1140
9_lines_245_stations,exact,exact,4,10,1.8403,0.0843,1.9246
9_lines_245_stations,ea_ra,enumeration,4,20,2609.7949,1.0550,2610.8499
9_lines_245_stations,heuristic,heuristic,4,20,0.0230,0.1310,0.1540
9_lines_245_stations,exact,exact,4,20,1.8403,0.0870,1.9273
9_lines_245_stations,ea_ra,enumeration,4,30,2609.7949,3.7450,2613.5399
9_lines_245_stations,heuristic,heuristic,4,30,0.0240,0.1730,0.1970
9_lines_245_stations,exact,exact,4,30,1.8403,0.0900,1.9303
9_lines_245_stations,ea_ra,enumeration,4,40,2609.7949,9.3105,2619.1054
9_lines_245_stations,heuristic,heuristic,4,40,0.0240,0.2130,0.2370
9_lines_245_stations,exact,exact,4,40,1.8403,0.0930,1.9333
9_lines_245_stations,ea_ra,enumeration,4,50,2609.7949,21.2569,2631.0518
9_lines_245_stations,heuristic,heuristic,4,50,0.0230,0.2560,0.2790
9_lines_245_stations,exact,exact,4,50,1.8403,0.0960,1.9363
9_lines_245_stations,ea_ra,enumeration,4,60,2609.7949,33.1496,2642.9445
9_lines_245_stations,heuristic,heuristic,4,60,0.0230,0.2950,0.3180
9_lines_245_stations,exact,exact,4,60,1.8403,0.0960,1.9363
9_lines_245_stations,ea_ra,enumeration,4,70,2609.7949,52.7784,2662.5733
9_lines_245_stations,heuristic,heuristic,4,70,0.0230,0.3380,0.3610
9_lines_245_stations,exact,exact,4,70,1.8403,0.0930,1.9333
9_lines_245_stations,ea_ra,random,5,10,1523.4768,0.9305,1524.4073
9_lines_245_stations,heuristic,heuristic,5,10,0.0379,0.0968,0.1347
9_lines_245_stations,exact,exact,5,10,1.7788,0.0780,1.8568
9_lines_245_stations,ea_ra,random,5,20,1523.4768,4.2099,1527.6867
9_lines_245_stations,heuristic,heuristic,5,20,0.0375,0.1492,0.1867
9_lines_245_stations,exact,exact,5,20,1.7788,0.0780,1.8568
9_lines_245_stations,ea_ra,random,5,30,1523.4768,25.4083,1548.8851
9_lines_245_stations,heuristic,heuristic,5,30,0.0376,0.2039,0.2415
9_lines_245_stations,exact,exact,5,30,1.7788,0.0810,1.8598
9_lines_245_stations,ea_ra,random,5,40,1523.4768,87.6729,1611.1497
9_lines_245_stations,heuristic,heuristic,5,40,0.0420,0.2570,0.2990
9_lines_245_stations,exact,exact,5,40,1.7788,0.0810,1.8598
9_lines_245_stations,ea_ra,random,5,50,1523.4768,225.2139,1748.6907
9_lines_245_stations,heuristic,heuristic,5,50,0.0380,0.3100,0.3480
9_lines_245_stations,exact,exact,5,50,1.7788,0.0870,1.8658
9_lines_245_stations,ea_ra,random,5,60,1523.4768,480.0866,2003.5634
9_lines_245_stations,heuristic,heuristic,5,60,0.0370,0.3670,0.4040
9_lines_245_stations,exact,exact,5,60,1.7788,0.0870,1.8658
9_lines_245_stations,ea_ra,random,5,70,1523.4768,918.8208,2442.2976
9_lines_245_stations,heuristic,heuristic,5,70,0.0370,0.4180,0.4550
9_lines_245_stations,exact,exact,5,70,1.7788,0.0936,1.8724
9_lines_245_stations,ea_ra,random,6,10,1295.2387,0.7588,1295.9975
9_lines_245_stations,heuristic,heuristic,6,10,0.0417,0.0871,0.1288
9_lines_245_stations,exact,exact,6,10,1.7312,0.0660,1.7972
9_lines_245_stations,ea_ra,random,6,20,1295.2387,12.9878,1308.2265
9_lines_245_stations,heuristic,heuristic,6,20,0.0405,0.1523,0.1928
9_lines_245_stations,exact,exact,6,20,1.7312,0.0780,1.8092
9_lines_245_stations,ea_ra,random,6,30,1295.2387,132.0740,1427.3127
9_lines_245_stations,heuristic,heuristic,6,30,0.0414,0.2213,0.2627
9_lines_245_stations,exact,exact,6,30,1.7312,0.0720,1.8032
9_lines_245_stations,ea_ra,random,6,40,1295.2387,638.3330,1933.5717
9_lines_245_stations,heuristic,heuristic,6,40,0.0414,0.2877,0.3291
9_lines_245_stations,exact,exact,6,40,1.7312,0.0750,1.8062
9_lines_245_stations,ea_ra,random,6,50,1295.2387,2232.0575,3527.2962
9_lines_245_stations,heuristic,heuristic,6,50,0.0405,0.3533,0.3938
9_lines_245_stations,exact,exact,6,50,1.7312,0.0780,1.8092
9_lines_245_stations,ea_ra,random,6,60,1295.2387,1680.0658,2975.3045
9_lines_245_stations,heuristic,heuristic,6,60,0.0406,0.4202,0.4608
9_lines_245_stations,exact,exact,6,60,1.7312,0.0810,1.8122
9_lines_245_stations,ea_ra,random,6,70,1295.2387,1649.6106,2944.8493
9_lines_245_stations,heuristic,heuristic,6,70,0.0408,0.4866,0.5274
