network,method,algorithm_variant,M,T,stage2_fixed_depots,technician_allocation,system_reliability,stage2_runtime_seconds
3_lines_80_stations,heuristic,heuristic,7,30,"[13,16,22,31,36,44,53]","[5,5,6,2,4,5,3]",0.862209243,0.0998
3_lines_80_stations,exact,exact,7,30,"[13,16,22,31,36,44,53]","[5,5,6,2,4,5,3]",0.862209243,0.015
3_lines_80_stations,ea_ra,enumeration,7,40,"[13,16,22,31,36,44,53]","[7,6,8,3,5,7,4]",0.989419778,2033.5752
3_lines_80_stations,heuristic,heuristic,7,40,"[13,16,22,31,36,44,53]","[7,6,8,3,5,7,4]",0.989419778,0.1416
3_lines_80_stations,exact,exact,7,40,"[13,16,22,31,36,44,53]","[7,6,8,3,5,7,4]",0.989419778,0.0189
3_lines_80_stations,ea_ra,enumeration,8,10,"[6,13,16,22,31,36,44,53]","[1,1,1,2,1,1,2,1]",0.006290938,1.6928
3_lines_80_stations,heuristic,heuristic,8,10,"[6,13,16,22,31,36,44,53]","[1,1,1,2,1,1,2,1]",0.006290938,0.0152
3_lines_80_stations,exact,exact,8,10,"[6,13,16,22,31,36,44,53]","[1,1,1,2,1,1,2,1]",0.006290938,0.0117
3_lines_80_stations,ea_ra,enumeration,8,20,"[6,13,16,22,31,36,44,53]","[1,3,3,4,2,2,3,2]",0.303047967,31.7364
3_lines_80_stations,heuristic,heuristic,8,20,"[6,13,16,22,31,36,44,53]","[1,3,3,4,2,2,3,2]",0.303047967,0.0652
3_lines_80_stations,exact,exact,8,20,"[6,13,16,22,31,36,44,53]","[1,3,3,4,2,2,3,2]",0.303047967,0.015
3_lines_80_stations,ea_ra,enumeration,8,30,"[6,13,16,22,31,36,44,53]","[2,4,4,6,2,4,5,3]",0.816628244,988.1039
3_lines_80_stations,heuristic,heuristic,8,30,"[6,13,16,22,31,36,44,53]","[2,4,4,6,2,4,5,3]",0.816628244,0.117
3_lines_80_stations,exact,exact,8,30,"[6,13,16,22,31,36,44,53]","[2,4,4,6,2,4,5,3]",0.816628244,0.018
3_lines_80_stations,ea_ra,random,8,40,"[6,13,16,22,31,36,44,53]","[4,5,5,8,5,4,5,4]",0.95695399,965.2606
3_lines_80_stations,heuristic,heuristic,8,40,"[6,13,16,22,31,36,44,53]","[3,5,6,8,3,5,6,4]",0.980697574,0.1665
3_lines_80_stations,exact,exact,8,40,"[6,13,16,22,31,36,44,53]","[3,5,6,8,3,5,6,4]",0.980697574,0.021
3_lines_80_stations,ea_ra,enumeration,9,10,"[6,13,16,22,26,31,36,44,53]","[1,1,1,2,1,1,1,1,1]",0.004124507,2.8737
3_lines_80_stations,heuristic,heuristic,9,10,"[6,13,16,22,26,31,36,44,53]","[1,1,1,2,1,1,1,1,1]",0.004124507,0.011
3_lines_80_stations,exact,exact,9,10,"[6,13,16,22,26,31,36,44,53]","[1,1,1,2,1,1,1,1,1]",0.004124507,0.009
3_lines_80_stations,ea_ra,enumeration,9,20,"[6,13,16,22,26,31,36,44,53]","[1,3,3,3,1,2,2,3,2]",0.250573196,50.0096
3_lines_80_stations,heuristic,heuristic,9,20,"[6,13,16,22,26,31,36,44,53]","[1,3,3,3,1,2,2,3,2]",0.250573196,0.0706
3_lines_80_stations,exact,exact,9,20,"[6,13,16,22,26,31,36,44,53]","[1,3,3,3,1,2,2,3,2]",0.250573196,0.015
3_lines_80_stations,ea_ra,random,9,30,"[6,13,16,22,26,31,36,44,53]","[2,4,4,5,3,2,3,5,2]",0.734214626,1012.8939
3_lines_80_stations,heuristic,heuristic,9,30,"[6,13,16,22,26,31,36,44,53]","[2,4,4,5,2,2,3,5,3]",0.770370833,0.1306
3_lines_80_stations,exact,exact,9,30,"[6,13,16,22,26,31,36,44,53]","[2,4,4,5,2,2,3,5,3]",0.770370833,0.018
3_lines_80_stations,ea_ra,random,9,40,"[6,13,16,22,26,31,36,44,53]","[2,7,5,6,3,3,4,6,4]",0.947618713,1155.6824
3_lines_80_stations,heuristic,heuristic,9,40,"[6,13,16,22,26,31,36,44,53]","[3,5,5,6,3,3,5,6,4]",0.968856507,0.1923
3_lines_80_stations,exact,exact,9,40,"[6,13,16,22,26,31,36,44,53]","[3,5,5,6,3,3,5,6,4]",0.968856507,0.021
3_lines_80_stations,ea_ra,enumeration,10,10,"[6,13,16,22,26,31,36,44,53,69]","[1,1,1,1,1,1,1,1,1,1]",0.003004094,3.1238
3_lines_80_stations,heuristic,heuristic,10,10,"[6,13,16,22,26,31,36,44,53,69]","[1,1,1,1,1,1,1,1,1,1]",0.003004094,0.0042
3_lines_80_stations,exact,exact,10,10,"[6,13,16,22,26,31,36,44,53,69]","[1,1,1,1,1,1,1,1,1,1]",0.003004094,0.009
3_lines_80_stations,ea_ra,enumeration,10,20,"[6,13,16,22,26,31,36,44,53,69]","[1,3,3,3,1,1,2,3,2,1]",0.202557533,66.4727
3_lines_80_stations,heuristic,heuristic,10,20,"[6,13,16,22,26,31,36,44,53,69]","[1,3,3,3,1,1,2,3,2,1]",0.202557533,0.0752
3_lines_80_stations,exact,exact,10,20,"[6,13,16,22,26,31,36,44,53,69]","[1,3,3,3,1,1,2,3,2,1]",0.202557533,0.015
3_lines_80_stations,ea_ra,random,10,30,"[6,13,16,22,26,31,36,44,53,69]","[1,4,5,4,2,3,3,4,2,2]",0.648416756,1097.3357
3_lines_80_stations,heuristic,heuristic,10,30,"[6,13,16,22,26,31,36,44,53,69]","[2,4,4,4,2,2,3,4,3,2]",0.72452858,0.1472
3_lines_80_stations,exact,exact,10,30,"[6,13,16,22,26,31,36,44,53,69]","[2,4,4,4,2,2,3,4,3,2]",0.72452858,0.018
3_lines_80_stations,ea_ra,random,10,40,"[6,13,16,22,26,31,36,44,53,69]","[3,5,6,5,2,4,5,4,3,3]",0.916139624,1656.6948
3_lines_80_stations,heuristic,heuristic,10,40,"[6,13,16,22,26,31,36,44,53,69]","[3,5,5,5,3,3,4,5,4,3]",0.954120417,0.2194
3_lines_80_stations,exact,exact,10,40,"[6,13,16,22,26,31,36,44,53,69]","[3,5,5,5,3,3,4,5,4,3]",0.954120417,0.021
